24.01.2017 13:23:19,11 - nsd, INFO, ALL IS WELL  
24.01.2017 13:23:28,43 - nsd, INFO, ALL IS WELL  
24.01.2017 13:23:37,77 - nsd, INFO, ALL IS WELL  
24.01.2017 13:23:47,13 - nsd, INFO, ALL IS WELL  
24.01.2017 13:23:56,57 - nsd, INFO, ALL IS WELL  
24.01.2017 13:24:05,93 - nsd, INFO, ALL IS WELL  
24.01.2017 13:24:15,29 - nsd, INFO, ALL IS WELL  
24.01.2017 13:24:24,65 - nsd, INFO, ALL IS WELL  
24.01.2017 13:24:34,03 - nsd, INFO, ALL IS WELL  
24.01.2017 13:24:43,37 - nsd, INFO, ALL IS WELL  
24.01.2017 13:24:52,71 - nsd, INFO, ALL IS WELL  
24.01.2017 13:25:02,08 - nsd, INFO, ALL IS WELL  
24.01.2017 13:25:11,42 - nsd, INFO, ALL IS WELL  
24.01.2017 13:25:20,76 - nsd, INFO, ALL IS WELL  
24.01.2017 13:25:30,09 - nsd, INFO, ALL IS WELL  
24.01.2017 13:25:39,42 - nsd, INFO, ALL IS WELL  
24.01.2017 13:25:48,80 - nsd, INFO, ALL IS WELL  
24.01.2017 13:25:58,18 - nsd, INFO, ALL IS WELL  
24.01.2017 13:26:07,60 - nsd, INFO, ALL IS WELL  
24.01.2017 13:26:16,94 - nsd, INFO, ALL IS WELL  
24.01.2017 13:26:26,26 - nsd, INFO, ALL IS WELL  
24.01.2017 13:26:35,57 - nsd, INFO, ALL IS WELL  
24.01.2017 13:26:44,91 - nsd, INFO, ALL IS WELL  
24.01.2017 13:26:54,26 - nsd, INFO, ALL IS WELL  
24.01.2017 13:27:03,59 - nsd, INFO, ALL IS WELL  
24.01.2017 13:27:12,94 - nsd, INFO, ALL IS WELL  
24.01.2017 13:27:22,30 - nsd, INFO, ALL IS WELL  
24.01.2017 13:27:31,70 - nsd, INFO, ALL IS WELL  
24.01.2017 13:27:41,06 - nsd, INFO, ALL IS WELL  
24.01.2017 13:27:50,48 - nsd, INFO, ALL IS WELL  
24.01.2017 13:27:59,84 - nsd, INFO, ALL IS WELL  
24.01.2017 13:28:09,22 - nsd, INFO, ALL IS WELL  
24.01.2017 13:28:18,58 - nsd, INFO, ALL IS WELL  
24.01.2017 13:28:27,92 - nsd, INFO, ALL IS WELL  
24.01.2017 13:28:37,27 - nsd, INFO, ALL IS WELL  
24.01.2017 13:28:46,61 - nsd, INFO, ALL IS WELL  
24.01.2017 13:28:55,93 - nsd, INFO, ALL IS WELL  
24.01.2017 13:29:05,26 - nsd, INFO, ALL IS WELL  
24.01.2017 13:29:14,62 - nsd, INFO, ALL IS WELL  
24.01.2017 13:29:23,95 - nsd, INFO, ALL IS WELL  
24.01.2017 13:29:33,30 - nsd, INFO, ALL IS WELL  
24.01.2017 13:29:42,77 - nsd, INFO, ALL IS WELL  
24.01.2017 13:29:52,18 - nsd, INFO, ALL IS WELL  
24.01.2017 13:30:01,54 - nsd, INFO, ALL IS WELL  
24.01.2017 13:30:10,88 - nsd, INFO, ALL IS WELL  
24.01.2017 13:30:20,24 - nsd, INFO, ALL IS WELL  
24.01.2017 13:30:29,60 - nsd, INFO, ALL IS WELL  
24.01.2017 13:30:38,95 - nsd, INFO, ALL IS WELL  
24.01.2017 13:30:48,30 - nsd, INFO, ALL IS WELL  
24.01.2017 13:30:57,62 - nsd, INFO, ALL IS WELL  
24.01.2017 13:31:06,97 - nsd, INFO, ALL IS WELL  
24.01.2017 13:31:16,32 - nsd, INFO, ALL IS WELL  
24.01.2017 13:31:25,68 - nsd, INFO, ALL IS WELL  
24.01.2017 13:31:35,05 - nsd, INFO, ALL IS WELL  
24.01.2017 13:31:44,45 - nsd, INFO, ALL IS WELL  
24.01.2017 13:31:53,88 - nsd, INFO, ALL IS WELL  
24.01.2017 13:32:03,24 - nsd, INFO, ALL IS WELL  
24.01.2017 13:32:12,60 - nsd, INFO, ALL IS WELL  
24.01.2017 13:32:21,97 - nsd, INFO, ALL IS WELL  
24.01.2017 13:32:31,29 - nsd, INFO, ALL IS WELL  
24.01.2017 13:32:40,62 - nsd, INFO, ALL IS WELL  
24.01.2017 13:32:49,95 - nsd, INFO, ALL IS WELL  
24.01.2017 13:32:59,32 - nsd, INFO, ALL IS WELL  
24.01.2017 13:33:08,66 - nsd, INFO, ALL IS WELL  
24.01.2017 13:33:18,00 - nsd, INFO, ALL IS WELL  
24.01.2017 13:33:27,36 - nsd, INFO, ALL IS WELL  
24.01.2017 13:33:36,69 - nsd, INFO, ALL IS WELL  
24.01.2017 13:33:46,03 - nsd, INFO, ALL IS WELL  
24.01.2017 13:33:55,37 - nsd, INFO, ALL IS WELL  
24.01.2017 13:34:04,71 - nsd, INFO, ALL IS WELL  
24.01.2017 13:34:14,06 - nsd, INFO, ALL IS WELL  
