26.01.2017  0:10:58,60 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:10:58,94 - lsm, INFO, ALL IS WELL  
26.01.2017  0:11:03,36 - lsm, INFO, ALL IS WELL  
26.01.2017  0:11:07,72 - nsd, INFO, ALL IS WELL  
26.01.2017  0:11:08,04 - lsm, INFO, ALL IS WELL  
26.01.2017  0:11:12,43 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:11:12,73 - lsm, INFO, ALL IS WELL  
26.01.2017  0:11:17,15 - lsm, INFO, ALL IS WELL  
26.01.2017  0:11:21,56 - nsd, INFO, ALL IS WELL  
26.01.2017  0:11:21,87 - lsm, INFO, ALL IS WELL  
26.01.2017  0:11:26,33 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:11:26,63 - lsm, INFO, ALL IS WELL  
26.01.2017  0:11:31,09 - lsm, INFO, ALL IS WELL  
26.01.2017  0:11:35,45 - nsd, INFO, ALL IS WELL  
26.01.2017  0:11:35,78 - lsm, INFO, ALL IS WELL  
26.01.2017  0:11:40,27 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:11:40,57 - lsm, INFO, ALL IS WELL  
26.01.2017  0:11:44,94 - lsm, INFO, ALL IS WELL  
26.01.2017  0:11:49,30 - nsd, INFO, ALL IS WELL  
26.01.2017  0:11:49,62 - lsm, INFO, ALL IS WELL  
26.01.2017  0:11:54,01 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:11:54,33 - lsm, INFO, ALL IS WELL  
26.01.2017  0:11:58,70 - lsm, INFO, ALL IS WELL  
26.01.2017  0:12:03,07 - nsd, INFO, ALL IS WELL  
26.01.2017  0:12:03,39 - lsm, INFO, ALL IS WELL  
26.01.2017  0:12:07,80 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:12:08,10 - lsm, INFO, ALL IS WELL  
26.01.2017  0:12:12,46 - lsm, INFO, ALL IS WELL  
26.01.2017  0:12:16,83 - nsd, INFO, ALL IS WELL  
26.01.2017  0:12:17,22 - lsm, INFO, ALL IS WELL  
26.01.2017  0:12:21,60 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:12:21,91 - lsm, INFO, ALL IS WELL  
26.01.2017  0:12:26,25 - lsm, INFO, ALL IS WELL  
26.01.2017  0:12:30,63 - nsd, INFO, ALL IS WELL  
26.01.2017  0:12:31,00 - lsm, INFO, ALL IS WELL  
26.01.2017  0:12:35,38 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:12:35,70 - lsm, INFO, ALL IS WELL  
26.01.2017  0:12:40,13 - lsm, INFO, ALL IS WELL  
26.01.2017  0:12:44,53 - nsd, INFO, ALL IS WELL  
26.01.2017  0:12:44,85 - lsm, INFO, ALL IS WELL  
26.01.2017  0:12:49,19 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:12:49,49 - lsm, INFO, ALL IS WELL  
26.01.2017  0:12:53,87 - lsm, INFO, ALL IS WELL  
26.01.2017  0:12:58,25 - nsd, INFO, ALL IS WELL  
26.01.2017  0:12:58,55 - lsm, INFO, ALL IS WELL  
26.01.2017  0:13:02,93 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:13:03,26 - lsm, INFO, ALL IS WELL  
26.01.2017  0:13:07,63 - lsm, INFO, ALL IS WELL  
26.01.2017  0:13:12,01 - nsd, INFO, ALL IS WELL  
26.01.2017  0:13:12,38 - lsm, INFO, ALL IS WELL  
26.01.2017  0:13:16,76 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:13:17,13 - lsm, INFO, ALL IS WELL  
26.01.2017  0:13:21,57 - lsm, INFO, ALL IS WELL  
26.01.2017  0:13:25,96 - nsd, INFO, ALL IS WELL  
26.01.2017  0:13:26,44 - lsm, INFO, ALL IS WELL  
26.01.2017  0:13:30,84 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:13:31,23 - lsm, INFO, ALL IS WELL  
26.01.2017  0:13:35,61 - lsm, INFO, ALL IS WELL  
26.01.2017  0:13:40,00 - nsd, INFO, ALL IS WELL  
26.01.2017  0:13:40,30 - lsm, INFO, ALL IS WELL  
26.01.2017  0:13:44,66 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:13:44,96 - lsm, INFO, ALL IS WELL  
26.01.2017  0:13:49,32 - lsm, INFO, ALL IS WELL  
26.01.2017  0:13:53,71 - nsd, INFO, ALL IS WELL  
26.01.2017  0:13:54,03 - lsm, INFO, ALL IS WELL  
26.01.2017  0:13:58,40 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:13:58,71 - lsm, INFO, ALL IS WELL  
26.01.2017  0:14:03,07 - lsm, INFO, ALL IS WELL  
26.01.2017  0:14:07,45 - nsd, INFO, ALL IS WELL  
26.01.2017  0:14:07,76 - lsm, INFO, ALL IS WELL  
26.01.2017  0:14:12,16 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:14:12,46 - lsm, INFO, ALL IS WELL  
26.01.2017  0:14:16,82 - lsm, INFO, ALL IS WELL  
26.01.2017  0:14:21,28 - nsd, INFO, ALL IS WELL  
26.01.2017  0:14:21,60 - lsm, INFO, ALL IS WELL  
26.01.2017  0:14:26,00 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:14:26,36 - lsm, INFO, ALL IS WELL  
26.01.2017  0:14:31,14 - lsm, INFO, ALL IS WELL  
26.01.2017  0:14:35,53 - nsd, INFO, ALL IS WELL  
26.01.2017  0:14:35,85 - lsm, INFO, ALL IS WELL  
26.01.2017  0:14:40,31 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:14:41,05 - lsm, INFO, ALL IS WELL  
26.01.2017  0:14:45,50 - lsm, INFO, ALL IS WELL  
26.01.2017  0:14:49,87 - nsd, INFO, ALL IS WELL  
26.01.2017  0:14:50,19 - lsm, INFO, ALL IS WELL  
26.01.2017  0:14:54,61 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:14:54,94 - lsm, INFO, ALL IS WELL  
26.01.2017  0:14:59,34 - lsm, INFO, ALL IS WELL  
